NAME	Basal-NK-cell	NA-NK-cell	Basal-CD8-T-cell	NA-CD8-T-cell	Basal-CD4-T-cell	NA-CD4-T-cell	Basal-Mp1	NA-Mp1	Basal-Mp2	NA-Mp2	Basal-Mp3	NA-Mp3	Basal-Mp4	NA-Mp4	Basal-Mp5	NA-Mp5	Basal-NonInf-Mp	NA-NonInf-Mp	NA-Hep1	NA-Hep2	NA-Hep3	NA-Hep4	NA-Hep5	NA-LSEC1	NA-LSEC2	NA-Plasma	Basal-B-cell	NA-B-cell	NA-Chol
AC004687.1	817.686008627799	1	382.170192079319	1	202.140126577554	1	66.1803766902181	1	71.6934718974288	1	60.9606482274886	1	44.2246417063637	1	52.6982259265305	1	51.0885914576525	1	1	1	1	1	1	1	1	1	212.355059408108	1	1
AC004862.6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	154.993111456796	136.05491000566	1	1	104.312211249774	1	1	1	1	1	1
AC004951.1	1	1	90.7274542060372	1	1	1	71.1494638337752	1	94.5565286594008	1	70.7424124351544	1	41.5921172489459	1	71.9553535956875	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC004951.6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	119.467901300307	1	1	1	1
AC005280.2	1	1	1	1	1	1	1	1	71.7775574977072	1	1	1	1	1	58.948955634678	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC006129.2	1	1	1	140.985591633231	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC006449.6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	44.0511517220666	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC008105.3	172.300529916533	1	145.287762812808	1	116.956256580607	1	82.7107753817747	1	183.716621085778	1	91.0991228557136	1	1	1	141.190121057271	1	1	1	1	1	1	1	1	1	1	1	196.243558842887	1	1
AC013461.1	1	1	1	1	1	1	1	120.21450196064	1	1	1	1	1	1	1	1	1	1	77.8252640773	96.8374221647431	152.069989371464	1	94.2102094340668	1	1	1	1	1	1
AC016831.5	114.016458176268	1	155.447589746925	1	113.209454951418	1	1	1	49.6829185316214	1	42.5810163446761	1	48.5158849098672	1	34.6109251639146	1	1	1	1	1	1	1	1	1	1	1	94.3742780135542	1	1
